Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.04.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
01.03.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
01.02.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
01.01.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
01.12.2004;8,2765;8,2765;8,2765;8,2765;;0,00%
01.11.2004;8,2765;8,2765;8,2765;8,2765;;0,00%
01.10.2004;8,2765;8,2765;8,2765;8,2765;;0,00%
01.09.2004;8,2766;8,2766;8,2766;8,2766;;0,00%
01.08.2004;8,2766;8,2766;8,2766;8,2766;;0,00%
01.07.2004;8,2769;8,2769;8,2769;8,2769;;0,00%
01.06.2004;8,2766;8,2766;8,2766;8,2766;;0,00%
01.05.2004;8,2768;8,2768;8,2768;8,2768;;0,00%
01.04.2004;8,2771;8,2771;8,2771;8,2771;;0,00%
01.03.2004;8,2771;8,2771;8,2771;8,2771;;0,00%
01.02.2004;8,2769;8,2769;8,2769;8,2769;;0,00%
01.01.2004;8,2768;8,2768;8,2768;8,2768;;0,00%
01.12.2003;8,2767;8,2767;8,2767;8,2767;;0,00%
01.11.2003;8,277;8,277;8,277;8,277;;0,00%
01.10.2003;8,2768;8,2768;8,2768;8,2768;;0,00%
01.09.2003;8,277;8,277;8,277;8,277;;0,00%
01.08.2003;8,2772;8,2772;8,2772;8,2772;;0,00%
01.07.2003;8,2774;8,2774;8,2774;8,2774;;0,00%
01.06.2003;8,2775;8,2775;8,2775;8,2775;;0,01%
01.05.2003;8,277;8,277;8,277;8,277;;0,00%
01.04.2003;8,2772;8,2772;8,2772;8,2772;;0,00%
01.03.2003;8,2774;8,2774;8,2774;8,2774;;0,00%
01.02.2003;8,2775;8,2775;8,2775;8,2775;;-0,01%
01.01.2003;8,2784;8,2784;8,2784;8,2784;;0,00%
01.12.2002;8,2785;8,2785;8,2785;8,2785;;0,01%
01.11.2002;8,2773;8,2773;8,2773;8,2773;;0,00%
01.10.2002;8,277;8,277;8,277;8,277;;0,00%
01.09.2002;8,2773;8,2773;8,2773;8,2773;;0,01%
01.08.2002;8,2768;8,2768;8,2768;8,2768;;0,00%
01.07.2002;8,2767;8,2767;8,2767;8,2767;;0,00%
01.06.2002;8,2771;8,2771;8,2771;8,2771;;0,01%
01.05.2002;8,2765;8,2765;8,2765;8,2765;;-0,01%
01.04.2002;8,2773;8,2773;8,2773;8,2773;;0,00%
01.03.2002;8,2774;8,2774;8,2774;8,2774;;0,01%
01.02.2002;8,2765;8,2765;8,2765;8,2765;;0,00%
01.01.2002;8,2765;8,2765;8,2765;8,2765;;0,00%
01.12.2001;8,2766;8,2766;8,2766;8,2766;;-0,01%
01.11.2001;8,2772;8,2772;8,2772;8,2772;;0,00%
01.10.2001;8,2768;8,2768;8,2768;8,2768;;0,00%
01.09.2001;8,2768;8,2768;8,2768;8,2768;;0,00%
01.08.2001;8,2769;8,2769;8,2769;8,2769;;0,00%
01.07.2001;8,277;8,277;8,277;8,277;;0,00%
01.06.2001;8,2767;8,2767;8,2767;8,2767;;0,00%
01.05.2001;8,277;8,277;8,277;8,277;;0,00%
01.04.2001;8,2774;8,2774;8,2774;8,2774;;0,00%
01.03.2001;8,2777;8,2777;8,2777;8,2777;;-0,01%
01.02.2001;8,2783;8,2783;8,2783;8,2783;;0,00%
01.01.2001;8,2781;8,2781;8,2781;8,2781;;0,01%
01.12.2000;8,2774;8,2774;8,2774;8,2774;;0,00%
01.11.2000;8,2777;8,2777;8,2777;8,2777;;0,00%
01.10.2000;8,2775;8,2775;8,2775;8,2775;;-0,03%
01.09.2000;8,2798;8,2798;8,2798;8,2798;;0,01%
01.08.2000;8,2786;8,2786;8,2786;8,2786;;-0,01%
01.07.2000;8,2792;8,2792;8,2792;8,2792;;0,01%
01.06.2000;8,2782;8,2782;8,2782;8,2782;;0,01%
01.05.2000;8,2773;8,2773;8,2773;8,2773;;-0,03%
01.04.2000;8,2799;8,2799;8,2799;8,2799;;0,01%
01.03.2000;8,2787;8,2787;8,2787;8,2787;;0,00%
01.02.2000;8,2786;8,2786;8,2786;8,2786;;0,01%
01.01.2000;8,2777;8,2777;8,2777;8,2777;;-0,02%
01.12.1999;8,2795;8,2795;8,2795;8,2795;;0,01%
01.11.1999;8,2789;8,2789;8,2789;8,2789;;0,01%
01.10.1999;8,2778;8,2778;8,2778;8,2778;;0,00%
01.09.1999;8,2778;8,2778;8,2778;8,2778;;0,01%
01.08.1999;8,277;8,277;8,277;8,277;;0,00%
01.07.1999;8,2774;8,2774;8,2774;8,2774;;-0,02%
01.06.1999;8,2787;8,2787;8,2787;8,2787;;0,00%
01.05.1999;8,2784;8,2784;8,2784;8,2784;;-0,01%
01.04.1999;8,279;8,279;8,279;8,279;;-0,01%
01.03.1999;8,28;8,28;8,28;8,28;;0,01%
01.02.1999;8,279;8,279;8,279;8,279;;0,01%
01.01.1999;8,2778;8,2778;8,2778;8,2778;;-0,01%
01.12.1998;8,2789;8,2789;8,2789;8,2789;;0,01%
01.11.1998;8,2782;8,2782;8,2782;8,2782;;0,00%
01.10.1998;8,2778;8,2778;8,2778;8,2778;;0,00%
01.09.1998;8,278;8,278;8,278;8,278;;-0,02%
01.08.1998;8,28;8,28;8,28;8,28;;0,00%
01.07.1998;8,2799;8,2799;8,2799;8,2799;;0,00%
01.06.1998;8,2797;8,2797;8,2797;8,2797;;0,00%
01.05.1998;8,2793;8,2793;8,2793;8,2793;;0,02%
01.04.1998;8,2779;8,2779;8,2779;8,2779;;-0,02%
01.03.1998;8,2793;8,2793;8,2793;8,2793;;0,00%
01.02.1998;8,2789;8,2789;8,2789;8,2789;;0,00%
01.01.1998;8,2785;8,2785;8,2785;8,2785;;-0,01%
01.12.1997;8,2796;8,2796;8,2796;8,2796;;0,00%
01.11.1997;8,2796;8,2796;8,2796;8,2796;;-0,05%
01.10.1997;8,2834;8,2834;8,2834;8,2834;;-0,02%
01.09.1997;8,2849;8,2849;8,2849;8,2849;;-0,04%
01.08.1997;8,2884;8,2884;8,2884;8,2884;;-0,02%
01.07.1997;8,2903;8,2903;8,2903;8,2903;;0,00%
01.06.1997;8,2907;8,2907;8,2907;8,2907;;-0,02%
01.05.1997;8,2921;8,2921;8,2921;8,2921;;-0,03%
01.04.1997;8,2945;8,2945;8,2945;8,2945;;-0,01%
01.03.1997;8,2955;8,2955;8,2955;8,2955;;0,00%
01.02.1997;8,2954;8,2954;8,2954;8,2954;;0,02%
01.01.1997;8,2934;8,2934;8,2934;8,2934;;-0,06%
01.12.1996;8,2984;8,2984;8,2984;8,2984;;-0,03%
01.11.1996;8,3012;8,3012;8,3012;8,3012;;0,01%
01.10.1996;8,3;8,3;8,3;8,3;;-0,02%
01.09.1996;8,3017;8,3017;8,3017;8,3017;;-0,06%
01.08.1996;8,3063;8,3063;8,3063;8,3063;;-0,05%
01.07.1996;8,3107;8,3107;8,3107;8,3107;;-0,14%
01.06.1996;8,3221;8,3221;8,3221;8,3221;;-0,04%
01.05.1996;8,3255;8,3255;8,3255;8,3255;;-0,06%
01.04.1996;8,3301;8,3301;8,3301;8,3301;;-0,04%
01.03.1996;8,3338;8,3338;8,3338;8,3338;;0,15%
01.02.1996;8,3211;8,3211;8,3211;8,3211;;0,09%
01.01.1996;8,3138;8,3138;8,3138;8,3138;;-0,04%
01.12.1995;8,3174;8,3174;8,3174;8,3174;;0,07%
01.11.1995;8,3116;8,3116;8,3116;8,3116;;-0,04%
01.10.1995;8,3149;8,3149;8,3149;8,3149;;-0,04%
01.09.1995;8,3185;8,3185;8,3185;8,3185;;-0,02%
01.08.1995;8,3198;8,3198;8,3198;8,3198;;0,23%
01.07.1995;8,3003;8,3003;8,3003;8,3003;;-0,01%
01.06.1995;8,3011;8,3011;8,3011;8,3011;;-0,05%
01.05.1995;8,3055;8,3055;8,3055;8,3055;;-1,21%
01.04.1995;8,4074;8,4074;8,4074;8,4074;;-0,23%
01.03.1995;8,4264;8,4264;8,4264;8,4264;;-0,06%
01.02.1995;8,4311;8,4311;8,4311;8,4311;;-0,09%
01.01.1995;8,4384;8,4384;8,4384;8,4384;;-0,09%
01.12.1994;8,4462;8,4462;8,4462;8,4462;;-0,74%
01.11.1994;8,509;8,509;8,509;8,509;;-0,20%
01.10.1994;8,526;8,526;8,526;8,526;;-0,05%
01.09.1994;8,53;8,53;8,53;8,53;;-0,34%
01.08.1994;8,5591;8,5591;8,5591;8,5591;;-0,70%
01.07.1994;8,6197;8,6197;8,6197;8,6197;;-0,37%
01.06.1994;8,6517;8,6517;8,6517;8,6517;;-0,09%
01.05.1994;8,6596;8,6596;8,6596;8,6596;;-0,55%
01.04.1994;8,7072;8,7072;8,7072;8,7072;;-0,01%
01.03.1994;8,708;8,708;8,708;8,708;;0,03%
01.02.1994;8,7055;8,7055;8,7055;8,7055;;0,06%
01.01.1994;8,7;8,7;8,7;8,7;;50,00%
01.12.1993;5,8;5,8;5,8;5,8;;-0,21%
01.11.1993;5,8122;5,8122;5,8122;5,8122;;0,31%
01.10.1993;5,7941;5,7941;5,7941;5,7941;;0,13%
01.09.1993;5,7868;5,7868;5,7868;5,7868;;-0,03%
01.08.1993;5,7883;5,7883;5,7883;5,7883;;0,47%
01.07.1993;5,7612;5,7612;5,7612;5,7612;;0,00%
01.06.1993;5,7612;5,7612;5,7612;5,7612;;0,56%
01.05.1993;5,729;5,729;5,729;5,729;;0,36%
01.04.1993;5,7084;5,7084;5,7084;5,7084;;-0,19%
01.03.1993;5,719;5,719;5,719;5,719;;-0,37%
01.02.1993;5,7402;5,7402;5,7402;5,7402;;-0,60%
01.01.1993;5,775;5,775;5,775;5,775;;0,40%
01.12.1992;5,7518;5,7518;5,7518;5,7518;;0,56%
01.11.1992;5,7198;5,7198;5,7198;5,7198;;3,01%
01.10.1992;5,5525;5,5525;5,5525;5,5525;;0,95%
